Count,Mean,Std_Dev,Minimum,Q1,Median,Q3,Maximum,IQR,Skewness,Kurtosis,CV_%
10000.0,650.529,96.653,350.0,584.0,652.0,718.0,850.0,134.0,-0.072,-0.426,14.858
10000.0,38.922,10.488,18.0,32.0,37.0,44.0,92.0,12.0,1.011,1.395,26.946
10000.0,5.013,2.892,0.0,3.0,5.0,7.0,10.0,4.0,0.011,-1.165,57.696
10000.0,76485.889,62397.405,0.0,0.0,97198.54,127644.24,250898.09,127644.24,-0.141,-1.489,81.58
10000.0,1.53,0.582,1.0,1.0,1.0,2.0,4.0,1.0,0.746,0.583,38.012
10000.0,0.706,0.456,0.0,0.0,1.0,1.0,1.0,1.0,-0.902,-1.187,64.612
10000.0,0.515,0.5,0.0,0.0,1.0,1.0,1.0,1.0,-0.06,-1.997,97.029
10000.0,100090.24,57510.493,11.58,51002.11,100193.915,149388.248,199992.48,98386.138,0.002,-1.182,57.459
10000.0,0.229,0.42,0.0,0.0,0.0,0.0,1.0,0.0,1.293,-0.329,183.706
10000.0,3.014,1.406,1.0,2.0,3.0,4.0,5.0,2.0,-0.009,-1.285,46.649
10000.0,606.515,225.925,119.0,410.0,605.0,801.0,1000.0,391.0,0.008,-1.194,37.25
